text,category,priority
"Where can I find information about the university's graduation ceremony, including dates and times?",Administration,Low
Tuition portal rejects credit card payment.,Finance,High
the payment portal keeps giving me error 404 and today is the last day for the early bird tuition discount. i dont want to pay extra.,Finance,High
how to submit general administrative feedback,Administration,Low
is there any way to change my major from art to engineering? i decided that i want to build things instead.,Academic,Medium
"I am unable to access the course registration portal, and my window for enrollment closes in 90 minutes. I have already cleared my cache.",Technical,High
The laundry machines in South Hall are all full. Is there any other place I can do my laundry?,Housing,Low
room key card reader takes multiple swipes,Housing,Medium
There's a weird buzzing sound coming from the wall outlet in my room. It seems like it could be a fire hazard.,Housing,High
the admission site crashed as i was entering my credit card for the deposit. the offer expires in 15 minutes. help!!,Admissions,High
course registration page loads slowly sometimes,Academic,Medium
documents needed for admission?,Admissions,Low
I'm having trouble with the online portal for my student housing application.,Housing,Medium
I noticed that the light in the library is flickering and it's making it hard to concentrate on my reading.,Library,Low
I'm having trouble with the online portal for my student containerization request account.,Technical,Medium
the official campus map in the admin building has the wrong building name for the new science center. who do i tell?,Administration,Medium
URGENT!! I missed my financial aid meeting because of a family crisis and now my package is showing as zero. Registration is tomorrow.,Finance,High
I would like to request a new lock for my dorm room because my current one is very difficult to turn.,Housing,Medium
is there a way to request a specific room in the dorm or is it first come first served this year? no hurry.,Housing,Medium
I am an international student and I'm having trouble with the J-1 visa application process. I need my DS-2019 by tomorrow.,Admissions,High
The portal for study abroad applications is showing a database connection error for all students today. deadline is today. i am calm.,Admissions,High
i'm tryin to figure out how to reset my student email password bc i forgot it again. no hurry.,Technical,Medium
i need an override for a class that starts in 1 hour. i am a graduating senior and this is the only section available.,Academic,High
my password reset link isn't arriving and my online final worth half my grade starts in 20 minutes.,Technical,High
application review taking longer than expected,Admissions,Medium
how do i request a replacement for my student id card if it's just cracked but still works fine?,Administration,Low
There is a massive flood in the basement of the administration building! Water is pouring in from the ceiling!,Administration,High
dorm AC filter replacement request,Housing,Medium
how do i change the emergency contact listed on my student file? i want to update it to my brother.,Administration,Low
my admission offer was rescinded because of a missing transcript that I already sent three times. i need someone to look at my file now.,Admissions,High
I just received a disciplinary notice for an exam I didn't even take. This is a massive administrative error.,Administration,High
i think i lost my keys in the library... has anyone turned them in??,Library,Low
recent payment not showing in history,Finance,Medium
Are study rooms available tonight?,Library,Low
I would like to inquire about the possibility of auditing a course in the Art History department next semester.,Academic,Low
i'm interested in the 2029 doctoral program requirements. i know it's early but i like to be prepared.,Admissions,Low
the library's copier is out of toner and i need to make copies for my class.,Library,Low
i am calm but my financial aid refund check was stolen from my mailbox and i need to stop payment on it tonight.,Finance,High
Is there a way to see my unofficial transcript from five years ago? I'm just curious about my old grades.,Academic,Low
library borrowing period question,Library,Low
I received an email stating that my financial aid package has been revoked. I need this corrected immediately as my tuition is due tomorrow.,Finance,High
application verification taking longer than usual,Admissions,Medium
URGENT!!!!!!!! i need to know where the laundry room is in block c i have no clean clothes left and i have a date tonight please hurry!!!!!!,Housing,Low
how do i change the emergency contact listed on my student file? i want to update it to my mother. thx.,Administration,Low
I need to withdraw from all my classes due to a medical emergency. What is the process to do this today to avoid academic penalty?,Academic,High
cannot access exam form closes soon,Academic,High
I am a prospective student and I would like to know if you offer any full scholarships for international students.,Admissions,Low
i'm havign trouble with the university's email on my phone it's not syncing any of my new messages.,Technical,Medium
There is a significant flood in the basement of the West Wing library near the rare manuscripts. We need maintenance immediately.,Library,High
I am calm but my financial aid disbursement is missing and i am being threatened with a late fee of $1000 today at 5pm.,Finance,High
I noticed that the printer in the study lounge is out of ink. Can someone replace the cartridge?,Technical,Low
My scholarship was supposed to be disbursed yesterday and I need that money to pay my rent by tomorrow or I'll be evicted.,Finance,High
Is there a lost and found for water bottles?,Administration,Low
URGENT PLEASE!! I can't find my financial aid award letter anywhere in the portal and I need to show it to my bank today.,Finance,Medium
I noticed that the temperature in the cafeteria is very high today. Is the air conditioning working at all?,Administration,Low
I have a question about the immunization requirements for international students.,Admissions,Low
I need a copy of my 1098-T tax form from two years ago. Is it possible to get this via email?,Finance,Low
transcripts uploaded but system shows pending,Admissions,Medium
